config,predictor_seed,margin
C1,1,0.05288267997093499
C2,1,-0.02355290557549128
C3,1,0.07320701610296965
C1,2,0.06143195740878582
C2,2,-0.019793044583059638
C3,2,0.0727152805775404
C1,3,0.060228314250707626
C2,3,-0.022655980468846648
C3,3,0.07268645009025931
C1,4,0.06971460394561291
C2,4,-0.01624321918294558
C3,4,0.0519845187664032
C1,5,0.06801957450807095
C2,5,-0.023508511291004508
C3,5,0.07370588649064302
C1,6,0.057733453810214996
C2,6,-0.015228470594741195
C3,6,0.058055829256772995
C1,7,0.0426445696502924
C2,7,-0.009660940424658149
C3,7,0.0605000127106905
C1,8,0.05048075318336487
C2,8,-0.019656976492263167
C3,8,0.062347593368031085
C1,9,0.03795256465673447
C2,9,-0.004307174862481444
C3,9,0.0520115508697927
C1,10,0.05922606308013201
C2,10,-0.014074684859372466
C3,10,0.06610632129013538
C1,11,0.06259288173168898
C2,11,-0.02301051075861582
C3,11,0.07309903763234615
C1,12,0.04618902504444122
C2,12,-0.020389746681906074
C3,12,0.07564659137278795
C1,13,0.05010085366666317
C2,13,-0.018654336960173934
C3,13,0.06059533357620239
C1,14,0.07315717544406652
C2,14,-0.018936098360575526
C3,14,0.07164555881172419
C1,15,0.06395728792995214
C2,15,-0.02101384270296225
C3,15,0.06936382409185171
C1,16,0.051973714493215084
C2,16,-0.01869733798608908
C3,16,0.06892233155667782
C1,17,0.06568789668381214
C2,17,-0.018991267115928023
C3,17,0.06685052998363972
C1,18,0.05419506365433335
C2,18,-0.0193402206461204
C3,18,0.07230140827596188
C1,19,0.05162988603115082
C2,19,-0.016704985679246276
C3,19,0.06222285330295563
C1,20,0.06414078269153833
C2,20,-0.027234871679104655
C3,20,0.07674099318683147
C1,21,0.04652511887252331
C2,21,-0.015012778149105399
C3,21,0.07742797024548054
C1,22,0.06117026135325432
C2,22,-0.02326818908856043
C3,22,0.07205071300268173
C1,23,0.05444353446364403
C2,23,-0.018260946304656356
C3,23,0.06181186158210039
C1,24,0.05452362075448036
C2,24,-0.02018570321903357
C3,24,0.0730350986123085
C1,25,0.04923333087936044
C2,25,-0.023377286543257325
C3,25,0.07816931651905179
C1,26,0.05401019845157862
C2,26,-0.021918303140558093
C3,26,0.07562131714075804
C1,27,0.06215418502688408
C2,27,-0.021988987730003684
C3,27,0.06492399238049984
C1,28,0.044051629258319736
C2,28,-0.01976171279617378
C3,28,0.0810318065341562
C1,29,0.049114786088466644
C2,29,-0.01701782810793051
C3,29,0.06377045437693596
C1,30,0.047923986334353685
C2,30,-0.014697370392389386
C3,30,0.06334013072773814
