test_desc_seed,predictor_seed,margin
100,1,0.12269670981913805
101,1,0.10847195889800787
102,1,0.10487646143883467
103,1,0.11645219195634127
104,1,0.1226955633610487
100,2,0.12021961575374007
101,2,0.09931031242012978
102,2,0.10699603892862797
103,2,0.12431472353637218
104,2,0.10590679384768009
100,3,0.0889236070215702
101,3,0.10415082704275846
102,3,0.11136097460985184
103,3,0.10195489739999175
104,3,0.12108602374792099
100,4,0.11246668873354793
101,4,0.09653510246425867
102,4,0.07191995810717344
103,4,0.11427417024970055
104,4,0.11780945863574743
100,5,0.12367938831448555
101,5,0.12136532180011272
102,5,0.09236786793917418
103,5,0.08166962582617998
104,5,0.09268565475940704
100,6,0.09340634569525719
101,6,0.12381641753017902
102,6,0.08175268024206161
103,6,0.09121794439852238
104,6,0.11590198799967766
100,7,0.1014223713427782
101,7,0.10231845919042826
102,7,0.09459822066128254
103,7,0.0861956006847322
104,7,0.09880653955042362
100,8,0.11576992832124233
101,8,0.10124346520751715
102,8,0.10932907462120056
103,8,0.12452967744320631
104,8,0.08983462862670422
100,9,0.11148029007017612
101,9,0.0914521049708128
102,9,0.10022704303264618
103,9,0.06844958523288369
104,9,0.06969072110950947
100,10,0.09160798415541649
101,10,0.1303781676106155
102,10,0.11782052088528872
103,10,0.10215055290609598
104,10,0.121187181212008
100,11,0.11513397749513388
101,11,0.09853406623005867
102,11,0.11815440584905446
103,11,0.10500482842326164
104,11,0.09665336925536394
100,12,0.10315944626927376
101,12,0.10933186952024698
102,12,0.12085380777716637
103,12,0.09202746162191033
104,12,0.09816909953951836
100,13,0.10906058456748724
101,13,0.10387323843315244
102,13,0.11337675200775266
103,13,0.09363714698702097
104,13,0.1029071994125843
100,14,0.10336813004687428
101,14,0.11097782012075186
102,14,0.1064640935510397
103,14,0.11775649432092905
104,14,0.10319782420992851
100,15,0.1343384301289916
101,15,0.10748272389173508
102,15,0.11326694115996361
103,15,0.09851239807903767
104,15,0.0983278276398778
100,16,0.11178848799318075
101,16,0.11604821868240833
102,16,0.0994173176586628
103,16,0.1321274284273386
104,16,0.0976150524802506
100,17,0.12688269838690758
101,17,0.08744031563401222
102,17,0.11921787355095148
103,17,0.11056729312986135
104,17,0.10459253005683422
100,18,0.11953761801123619
101,18,0.10736562125384808
102,18,0.12541893124580383
103,18,0.13385063828900456
104,18,0.13434345205314457
100,19,0.08562991209328175
101,19,0.07986757252365351
102,19,0.09110083058476448
103,19,0.12885347288101912
104,19,0.11124072317034006
100,20,0.11761367321014404
101,20,0.09708962868899107
102,20,0.0920341033488512
103,20,0.11114888824522495
104,20,0.12395140528678894
100,21,0.09017774928361177
101,21,0.11047193454578519
102,21,0.14369608648121357
103,21,0.11656634416431189
104,21,0.1053573489189148
100,22,0.11149262823164463
101,22,0.14903705939650536
102,22,0.11680666543543339
103,22,0.1031246273778379
104,22,0.1134197823703289
100,23,0.11850773729383945
101,23,0.08833842538297176
102,23,0.09857546957209706
103,23,0.1038703010417521
104,23,0.09312485251575708
100,24,0.13167410902678967
101,24,0.13220779970288277
102,24,0.11317665129899979
103,24,0.12564668245613575
104,24,0.11657367367297411
100,25,0.11609051423147321
101,25,0.11001248145475984
102,25,0.11702021537348628
103,25,0.1245727096684277
104,25,0.11601121118292212
100,26,0.12928832601755857
101,26,0.13267971761524677
102,26,0.10727528482675552
103,26,0.10380522068589926
104,26,0.10882490733638406
100,27,0.10747636668384075
101,27,0.11674699233844876
102,27,0.1430931817740202
103,27,0.10628453269600868
104,27,0.1005411995574832
100,28,0.11349072284065187
101,28,0.07924638944678009
102,28,0.12238159705884755
103,28,0.11167922033928335
104,28,0.11135642020963132
100,29,0.1363769476301968
101,29,0.08314446359872818
102,29,0.09434916661120951
103,29,0.08493537176400423
104,29,0.10953372344374657
100,30,0.0884031024761498
101,30,0.12784045888110995
102,30,0.09803057461977005
103,30,0.07785089360550046
104,30,0.11533607728779316
